episode_overall,episode_in_season,Title,Directed by,Written by,air_date,prod_code,viewers_millions
158,6,"""Doomsday""",Troy Miller,Daniel Chun,"November 3, 2011",8003,6.15[181]
159,7,"""Pam's Replacement""",Matt Sohn,Allison Silverman,"November 10, 2011",8007,5.96[182]
160,8,"""Gettysburg""",Jeffrey Blitz,Robert Padnick,"November 17, 2011",8008,5.50[183]
161,9,"""Mrs. California""",Charlie Grandy,Dan Greaney,"December 1, 2011",8009,5.71[184]
162,10,"""Christmas Wishes""",Ed Helms,Mindy Kaling,"December 8, 2011",8010,5.79[185]
163,11,"""Trivia""",B. J. Novak,Steve Hely,"January 12, 2012",8011,5.90[186]
164,12,"""Pool Party""",Charles McDougall,Owen Ellickson,"January 19, 2012",8012,6.02[187]
165,13,"""Jury Duty""",Eric Appel,Aaron Shure,"February 2, 2012",8013,5.31[188]
166,14,"""Special Project""",David Rogers,Amelie Gillette,"February 9, 2012",8014,5.19[189]
167,15,"""Tallahassee""",Matt Sohn,Daniel Chun,"February 16, 2012",8015,4.38[190]
168,16,"""After Hours""",Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,"February 23, 2012",8016,5.02[191]
169,17,"""Test the Store""",Brent Forrester,Mindy Kaling,"March 1, 2012",8017,4.95[192]
170,18,"""Last Day in Florida""",Matt Sohn,Robert Padnick,"March 8, 2012",8018,4.89[193]
171,19,"""Get the Girl""",Rainn Wilson,Charlie Grandy,"March 15, 2012",8019,4.87[194]
172,20,"""Welcome Party""",Ed Helms,Steve Hely,"April 12, 2012",8020,4.39[195]
173,21,"""Angry Andy""",Claire Scanlon,Justin Spitzer,"April 19, 2012",8021,4.35[196]
174,22,"""Fundraiser""",David Rogers,Owen Ellickson,"April 26, 2012",8022,4.17[197]
175,23,"""Turf War""",Daniel Chun,Warren Lieberstein & Halsted Sullivan,"May 3, 2012",8023,4.44[198]
176,24,"""Free Family Portrait Studio""",B. J. Novak,B. J. Novak,"May 10, 2012",8024,4.49[199]
177,1,"""New Guys""",Greg Daniels,Greg Daniels,"September 20, 2012",9001,4.28[203]
178,2,"""Roy's Wedding""",Matt Sohn,Allison Silverman,"September 27, 2012",9002,4.13[204]
179,3,"""Andy's Ancestry""",David Rogers,Jonathan Green & Gabe Miller,"October 4, 2012",9003,4.14[205]
180,4,"""Work Bus""",Bryan Cranston,Brent Forrester,"October 18, 2012",9004,4.28[206]
181,5,"""Here Comes Treble""",Claire Scanlon,Owen Ellickson,"October 25, 2012",9006,4.00[207]
182,6,"""The Boat""",John Krasinski,Dan Sterling,"November 8, 2012",9007,4.83[208]
183,7,"""The Whale""",Rodman Flender,Carrie Kemper,"November 15, 2012",9008,4.16[209]
184,8,"""The Target""",Brent Forrester,Graham Wagner,"November 29, 2012",9009,3.88[210]
185,9,"""Dwight Christmas""",Charles McDougall,Robert Padnick,"December 6, 2012",9010,4.16[211]
186,10,"""Lice""",Rodman Flender,Niki Schwartz-Wright,"January 10, 2013",9011,4.54[212]
187,11,"""Suit Warehouse""",Matt Sohn,Dan Greaney,"January 17, 2013",9012,4.15[213]
188,12,"""Customer Loyalty""",Kelly Cantley,Jonathan Green & Gabe Miller,"January 24, 2013",9013,4.19[214]
189,13,"""Junior Salesman""",David Rogers,Carrie Kemper,"January 31, 2013",9014,4.45[215]
190,14,"""Vandalism""",Lee Kirk,Owen Ellickson,"January 31, 2013",9015,3.97[215]
191,15,"""Couples Discount""",Troy Miller,Allison Silverman,"February 7, 2013",9016,4.15[216]
192,16,"""Moving On""‡",Jon Favreau,Graham Wagner,"February 14, 2013",9017,4.06[217]
193,17,"""The Farm""",Paul Lieberstein,Paul Lieberstein,"March 14, 2013",9005,3.54[218]
194,18,"""Promos""",Jennifer Celotta,Tim McAuliffe,"April 4, 2013",9018,3.44[219]
195,19,"""Stairmageddon""",Matt Sohn,Dan Sterling,"April 11, 2013",9019,3.83[220]
196,20,"""Paper Airplane""",Jesse Peretz,Halsted Sullivan & Warren Lieberstein,"April 25, 2013",9020,3.25[221]
197,21,"""Livin' the Dream""‡",Jeffrey Blitz,Niki Schwartz-Wright,"May 2, 2013",9021,3.51[222]
198,22,"""A.A.R.M.""‡",David Rogers,Brent Forrester,"May 9, 2013",9022,4.56[223]
199,23,,,,,9023,
,,,,,,,
200,24,"""Finale""*",Ken Kwapis,Greg Daniels,"May 16, 2013",9024,5.69[224]
201,25,,,,,9025,
